perf_id,emp_id,month,productivity_score,task_completion_rate,quality_score
1,1,2024-07,64,89.28,4.2
2,1,2024-08,59,66.24,3.31
3,1,2024-09,75,60.82,4.94
4,1,2024-10,67,93.3,3.42
5,1,2024-11,56,72.17,4.05
6,1,2024-12,56,77.28,3.58
7,2,2024-07,50,71.69,3.73
8,2,2024-08,63,78.24,4.57
9,2,2024-09,60,83.7,3.09
10,2,2024-10,46,84.3,3.34
11,2,2024-11,54,87.37,3.88
12,2,2024-12,58,64.88,3.99
13,3,2024-07,68,72.47,4.04
14,3,2024-08,48,81.87,3.37
15,3,2024-09,67,63.54,3.39
16,3,2024-10,61,61.81,3.65
17,3,2024-11,46,93.15,3.71
18,3,2024-12,53,71.24,4.09
19,4,2024-07,73,62.98,4.97
20,4,2024-08,67,90.89,3.4
21,4,2024-09,80,90.85,3.15
22,4,2024-10,79,74.34,3.23
23,4,2024-11,73,73.24,3.13
24,4,2024-12,79,72.44,3.65
25,5,2024-07,68,95.49,3.94
26,5,2024-08,73,64.78,4.43
27,5,2024-09,63,90.84,3.99
28,5,2024-10,75,80.91,3.86
29,5,2024-11,60,72.57,4.02
30,5,2024-12,58,96.3,3.5
31,6,2024-07,74,69.15,3.15
32,6,2024-08,55,71.59,3.32
33,6,2024-09,69,92.15,3.37
34,6,2024-10,63,95.7,4.08
35,6,2024-11,53,69.12,3.85
36,6,2024-12,57,92.72,4.72
37,7,2024-07,60,76.7,3.44
38,7,2024-08,58,64.79,3.68
39,7,2024-09,59,80.75,4.41
40,7,2024-10,64,74.55,4.94
41,7,2024-11,41,71.39,3.07
42,7,2024-12,60,84.38,4.01
43,8,2024-07,64,65.8,3.98
44,8,2024-08,68,99.43,3.48
45,8,2024-09,76,69.51,4.46
46,8,2024-10,72,74.71,4.26
47,8,2024-11,70,63.61,4.67
48,8,2024-12,86,72.83,3.37
49,9,2024-07,60,87.1,3.03
50,9,2024-08,55,80.48,3.45
51,9,2024-09,50,87.64,3.77
52,9,2024-10,64,97.47,3.28
53,9,2024-11,53,96.99,4.75
54,9,2024-12,57,70.32,4.32
55,10,2024-07,62,81.19,3.48
56,10,2024-08,73,63.72,4.79
57,10,2024-09,62,73.56,3.7
58,10,2024-10,67,89.04,4.79
59,10,2024-11,62,85.68,3.17
60,10,2024-12,63,66.47,4.8
61,11,2024-07,72,60.2,3.32
62,11,2024-08,63,81.95,4.38
63,11,2024-09,59,88.49,3.47
64,11,2024-10,76,73.02,4.49
65,11,2024-11,79,86.3,4.14
66,11,2024-12,74,63.75,3.74
67,12,2024-07,57,98.92,3.79
68,12,2024-08,57,95.68,4.26
69,12,2024-09,65,83.08,3.99
70,12,2024-10,79,67.81,4.44
71,12,2024-11,55,97.62,4.91
72,12,2024-12,69,96.59,3.74
73,13,2024-07,64,98.54,4.71
74,13,2024-08,60,71.78,3.77
75,13,2024-09,56,66.78,4.11
76,13,2024-10,68,97.45,4.39
77,13,2024-11,52,84.6,4.98
78,13,2024-12,61,65.6,4.04
79,14,2024-07,73,87.88,4.4
80,14,2024-08,75,74.38,3.59
81,14,2024-09,75,94.68,4.83
82,14,2024-10,75,80.45,4.0
83,14,2024-11,75,88.08,4.59
84,14,2024-12,81,95.6,3.68
85,15,2024-07,53,83.13,3.07
86,15,2024-08,58,78.62,4.09
87,15,2024-09,66,61.22,3.07
88,15,2024-10,44,92.9,3.72
89,15,2024-11,60,90.8,3.43
90,15,2024-12,50,84.92,3.17
91,16,2024-07,65,81.63,4.27
92,16,2024-08,59,89.04,4.95
93,16,2024-09,45,91.81,3.54
94,16,2024-10,66,77.56,3.16
95,16,2024-11,70,76.36,3.35
96,16,2024-12,73,66.26,3.5
97,17,2024-07,77,86.41,3.56
98,17,2024-08,64,98.19,4.48
99,17,2024-09,81,76.78,3.5
100,17,2024-10,70,74.24,4.52
101,17,2024-11,64,78.97,3.2
102,17,2024-12,67,79.66,3.95
103,18,2024-07,58,75.94,4.23
104,18,2024-08,48,85.4,3.09
105,18,2024-09,74,80.13,4.71
106,18,2024-10,46,86.35,3.33
107,18,2024-11,61,61.06,4.17
108,18,2024-12,54,97.61,4.15
109,19,2024-07,75,78.33,4.09
110,19,2024-08,48,97.66,3.77
111,19,2024-09,62,62.85,3.64
112,19,2024-10,54,93.8,3.05
113,19,2024-11,55,64.73,4.39
114,19,2024-12,68,85.16,4.75
115,20,2024-07,68,71.28,3.35
116,20,2024-08,66,90.02,4.61
117,20,2024-09,60,74.88,4.55
118,20,2024-10,61,73.63,4.86
119,20,2024-11,58,90.03,4.51
120,20,2024-12,70,64.12,4.81
121,21,2024-07,83,72.8,4.79
122,21,2024-08,70,75.57,3.02
123,21,2024-09,73,98.02,4.15
124,21,2024-10,69,85.27,3.9
125,21,2024-11,60,86.9,4.5
126,21,2024-12,58,91.66,4.58
127,22,2024-07,60,62.3,4.1
128,22,2024-08,52,77.66,4.78
129,22,2024-09,52,65.72,4.52
130,22,2024-10,57,84.73,3.2
131,22,2024-11,62,62.91,4.64
132,22,2024-12,55,88.25,3.16
133,23,2024-07,46,92.51,4.89
134,23,2024-08,46,99.44,4.51
135,23,2024-09,53,91.09,4.12
136,23,2024-10,58,76.97,4.81
137,23,2024-11,60,60.45,3.94
138,23,2024-12,50,62.25,3.24
139,24,2024-07,68,89.84,4.17
140,24,2024-08,57,98.49,3.75
141,24,2024-09,71,68.94,4.93
142,24,2024-10,61,60.49,4.94
143,24,2024-11,67,62.95,4.11
144,24,2024-12,65,98.77,4.05
145,25,2024-07,74,78.18,4.26
146,25,2024-08,69,83.37,4.8
147,25,2024-09,81,71.1,3.38
148,25,2024-10,52,78.55,3.71
149,25,2024-11,53,98.98,4.97
150,25,2024-12,61,87.93,4.07
151,26,2024-07,74,87.39,3.33
152,26,2024-08,60,96.44,4.65
153,26,2024-09,52,97.31,4.73
154,26,2024-10,83,61.81,3.05
155,26,2024-11,76,99.49,3.3
156,26,2024-12,61,83.77,3.76
157,27,2024-07,59,76.59,3.55
158,27,2024-08,72,62.26,4.73
159,27,2024-09,60,90.76,4.89
160,27,2024-10,60,93.99,3.49
161,27,2024-11,50,98.16,4.21
162,27,2024-12,59,69.15,4.34
163,28,2024-07,55,64.54,4.34
164,28,2024-08,82,80.81,4.54
165,28,2024-09,81,82.08,4.12
166,28,2024-10,70,95.07,3.81
167,28,2024-11,76,88.16,3.43
168,28,2024-12,83,65.45,3.03
169,29,2024-07,75,75.69,3.87
170,29,2024-08,48,96.17,3.7
171,29,2024-09,80,75.86,4.24
172,29,2024-10,65,94.49,4.9
173,29,2024-11,48,78.37,4.96
174,29,2024-12,65,79.7,3.66
175,30,2024-07,47,63.03,3.26
176,30,2024-08,66,65.12,3.3
177,30,2024-09,63,67.28,3.69
178,30,2024-10,51,95.87,3.95
179,30,2024-11,51,67.69,3.08
180,30,2024-12,65,66.76,3.56
181,31,2024-07,59,68.25,3.73
182,31,2024-08,50,80.14,4.38
183,31,2024-09,54,94.94,4.84
184,31,2024-10,62,62.44,3.55
185,31,2024-11,66,67.38,3.42
186,31,2024-12,67,74.82,3.97
187,32,2024-07,45,78.5,4.49
188,32,2024-08,73,61.47,3.5
189,32,2024-09,65,80.47,4.06
190,32,2024-10,63,64.29,3.89
191,32,2024-11,44,70.77,3.75
192,32,2024-12,62,60.8,3.64
193,33,2024-07,59,64.79,4.78
194,33,2024-08,55,83.74,4.36
195,33,2024-09,65,63.48,4.07
196,33,2024-10,79,83.47,4.49
197,33,2024-11,55,71.35,3.73
198,33,2024-12,64,85.84,4.14
199,34,2024-07,47,64.07,3.31
200,34,2024-08,65,69.84,3.32
201,34,2024-09,55,66.93,4.79
202,34,2024-10,52,63.21,4.05
203,34,2024-11,62,64.48,3.8
204,34,2024-12,60,98.78,4.73
205,35,2024-07,55,66.84,4.34
206,35,2024-08,67,97.18,4.11
207,35,2024-09,44,90.78,3.37
208,35,2024-10,65,72.95,3.85
209,35,2024-11,44,64.59,4.22
210,35,2024-12,60,71.55,4.16
211,36,2024-07,60,81.3,3.1
212,36,2024-08,48,73.46,3.27
213,36,2024-09,70,70.19,4.36
214,36,2024-10,55,90.41,4.19
215,36,2024-11,36,73.95,4.86
216,36,2024-12,53,93.22,4.93
217,37,2024-07,68,97.53,3.36
218,37,2024-08,59,62.66,4.48
219,37,2024-09,76,65.59,4.59
220,37,2024-10,67,68.07,3.33
221,37,2024-11,68,86.61,4.05
222,37,2024-12,61,74.35,4.75
223,38,2024-07,72,77.57,3.75
224,38,2024-08,56,78.51,3.6
225,38,2024-09,60,69.29,4.8
226,38,2024-10,76,75.36,4.09
227,38,2024-11,62,64.68,4.88
228,38,2024-12,67,85.11,3.67
229,39,2024-07,73,84.8,4.07
230,39,2024-08,66,95.76,4.58
231,39,2024-09,66,69.94,4.49
232,39,2024-10,62,61.34,4.14
233,39,2024-11,74,73.68,4.64
234,39,2024-12,73,64.43,4.69
235,40,2024-07,58,91.89,3.3
236,40,2024-08,51,69.17,4.44
237,40,2024-09,68,87.76,4.09
238,40,2024-10,73,70.07,3.69
239,40,2024-11,43,78.48,4.89
240,40,2024-12,74,66.13,4.17
241,41,2024-07,84,60.72,4.74
242,41,2024-08,61,97.28,4.13
243,41,2024-09,64,88.29,3.31
244,41,2024-10,62,83.05,4.21
245,41,2024-11,75,97.37,4.85
246,41,2024-12,55,78.03,3.23
247,42,2024-07,60,83.65,3.8
248,42,2024-08,70,62.19,3.67
249,42,2024-09,50,81.5,4.84
250,42,2024-10,44,73.85,3.69
251,42,2024-11,57,68.98,3.9
252,42,2024-12,76,65.63,3.35
253,43,2024-07,39,96.59,3.72
254,43,2024-08,65,83.22,4.26
255,43,2024-09,63,63.41,4.99
256,43,2024-10,54,80.09,4.19
257,43,2024-11,65,68.4,4.8
258,43,2024-12,65,68.21,3.38
259,44,2024-07,65,82.59,3.13
260,44,2024-08,60,91.02,3.91
261,44,2024-09,39,76.03,4.12
262,44,2024-10,75,66.21,3.36
263,44,2024-11,51,85.76,3.82
264,44,2024-12,58,61.02,3.31
265,45,2024-07,69,61.08,3.44
266,45,2024-08,72,69.24,4.34
267,45,2024-09,55,86.11,3.48
268,45,2024-10,64,63.98,3.49
269,45,2024-11,67,93.21,3.79
270,45,2024-12,64,86.72,3.41
271,46,2024-07,75,60.52,3.17
272,46,2024-08,67,68.32,3.05
273,46,2024-09,73,76.86,4.79
274,46,2024-10,58,92.7,3.68
275,46,2024-11,63,83.61,3.54
276,46,2024-12,56,84.97,3.82
277,47,2024-07,40,71.78,4.9
278,47,2024-08,76,90.54,3.28
279,47,2024-09,60,95.78,4.6
280,47,2024-10,71,77.01,3.04
281,47,2024-11,63,85.34,3.52
282,47,2024-12,43,65.57,4.67
283,48,2024-07,60,66.87,3.54
284,48,2024-08,63,60.74,4.83
285,48,2024-09,61,70.96,4.11
286,48,2024-10,51,86.06,4.66
287,48,2024-11,62,84.02,4.33
288,48,2024-12,69,67.01,4.83
289,49,2024-07,42,80.76,3.09
290,49,2024-08,48,66.65,4.48
291,49,2024-09,61,69.81,3.78
292,49,2024-10,53,71.55,3.71
293,49,2024-11,51,82.66,3.95
294,49,2024-12,70,86.55,4.87
295,50,2024-07,52,61.25,3.52
296,50,2024-08,67,83.8,3.1
297,50,2024-09,85,73.37,4.54
298,50,2024-10,60,64.26,3.15
299,50,2024-11,60,87.54,3.87
300,50,2024-12,77,69.86,4.64
